SAL_CODE_2021,SAL_NAME_2021
10923,Claymore
10924,Clear Creek
10925,Clear Range
10926,Clearfield
10927,Clemton Park
10928,Clergate
10929,Cleveland
10930,Clifden
10931,Cliftleigh
10932,Clifton
10933,Clifton Grove
10934,Clontarf
10935,Clothiers Creek
10936,Clouds Creek
10937,Clovelly
10938,Clunes
10939,Clybucca
10940,Clyde
10941,Clydesdale
10942,Coal Point
10943,Coalcliff
10944,Coaldale
10945,Coasters Retreat
10946,Cobaki
10947,Cobaki Lakes
10948,Cobar
10949,Cobar Park
10950,Cobargo
10951,Cobark
10952,Cobbadah
10953,Cobbitty
10954,Cobbora
10955,Cobramunga
10956,Cockwhy
10957,Codrington
10958,Coffee Camp
10959,Coffs Harbour
10960,Coggan
10961,Cogra Bay
10962,Coila
10963,Coldstream
10964,Coleambally
10965,Colebee
10966,Coledale
10967,Colinroobie
10968,Colinton
10969,Collarenebri
10970,Collaroy
10971,Collaroy Plateau
10972,Collector
10973,Collendina
10974,Collerina
10975,Collie
10976,Collingullie
10977,Collingwood
10978,Collins Creek
10979,Collombatti
10980,Collum Collum
10981,Colly Blue
10982,Colo (Bathurst Regional - NSW)
10983,Colo (Hawkesbury - NSW)
10984,Colo Heights
10985,Colo Vale
10986,Colongra
10987,Colyton
10988,Comara
10989,Combaning
10990,Combara
10991,Comberton
10992,Comboyne
10993,Come By Chance
10994,Comerong Island
10995,Commissioners Creek
10996,Como
10997,Comobella
10998,Conargo
10999,Concord
11000,Concord West
11001,Condell Park
11002,Condobolin
11003,Condong
11004,Coneac
11005,Congarinni
11006,Congarinni North
11007,Congewai
11008,Congo
11009,Conimbia
11010,Coniston
11011,Conjola
11012,Conjola Park
11013,Connells Point
11014,Constitution Hill
11015,Coogee
11016,Cookamidgera
11017,Cookardinia
11018,Cooks Gap
11019,Cooks Hill
11020,Cooks Myalls
11021,Coolabah
11022,Coolac
11023,Coolagolite
11024,Coolah
11025,Coolamon
11026,Coolangatta
11027,Coolangubra
11028,Coolatai
11029,Cooleman
11030,Cooleys Creek
11031,Coolgardie
11032,Coolongolook
11033,Coolringdon
11034,Coolumbooka
11035,Coolumburra
11036,Cooma
11037,Coomba Bay
11038,Coomba Park
11039,Coombadjha
11040,Coombell
11041,Coomealla
11042,Coomoo Coomoo
11043,Coonabarabran
11044,Coonamble
11045,Coongbar
11046,Cooperabung
11047,Coopernook
11048,Coopers Gully
11049,Coopers Shoot
11050,Cooplacurripa
11051,Coorabell
11052,Cooranbong
11053,Cootamundra
11054,Cootralantra
11055,Cooyal
11056,Copacabana
11057,Cope
11058,Copeland
11059,Copeton
11060,Copmanhurst
11061,Coppabella
11062,Copperhannia
11063,Coraki
11064,Coralville
11065,Coramba
11066,Corang
11067,Corangula
11068,Corbie Hill
11069,Cordeaux
11070,Cordeaux Heights
11071,Coree
11072,Coreen
11073,Corindi Beach
11074,Corinella
11075,Corlette
11076,Corndale
11077,Corney Town
11078,Cornwallis
11079,Corobimilla
11080,Corowa
11081,Corrabare
11082,Corrimal
11083,Corrong
11084,Corrowong
11085,Corunna
11086,Cottage Point
11087,Cottonvale
11088,Cougal
11089,Countegany
11090,Courabyra
11091,Couradda
11092,Couragago
11093,Couridjah
11094,Coutts Crossing
11095,Cow Flat
11096,Cowabbie
11097,Cowan
11098,Cowper
11099,Cowra
11100,Coxs Creek
11101,Coxs Crown
11102,Crabbes Creek
11103,Crackenback
11104,Craigie
11105,Cranebrook
11106,Crangan Bay
11107,Craven
11108,Craven Plateau
11109,Crawford River
11110,Crawney
11111,Creel Bay
11112,Creewah
11113,Cremorne
11114,Cremorne Point
11115,Crescent Head
11116,Crestwood
11117,Cringila
11118,Croki
11119,Cromer
11120,Cronulla
11121,Crooble
11122,Croobyar
11123,Crooked Corner
11124,Crookwell
11125,Croom
11126,Croppa Creek
11127,Cross Roads
11128,Crosslands
11129,Croudace Bay
11130,Crowdy Bay
11131,Crowdy Head
11132,Crows Nest
11133,Crowther
11134,Crowther Island
11135,Croydon
11136,Croydon Park
11137,Crudine
11138,Cryon
11139,Crystal Creek
11140,Cubba
11141,Cudal
11142,Cudgegong
11143,Cudgel
11144,Cudgen
11145,Cudgera Creek
11146,Cudmirrah
11147,Culburra Beach
11148,Culcairn
11149,Cullen Bullen
11150,Cullenbone
11151,Cullendore
11152,Cullerin
11153,Cullivel
11154,Culmaran Creek
11155,Cumbalum
11156,Cumbandry
11157,Cumberland Reach
11158,Cumbo
11159,Cumborah
11160,Cumnock
11161,Cundle Flat
11162,Cundletown
11163,Cundumbul
11164,Cunjurong Point
11165,Cunningar
11166,Cunninyeuk
11167,Curban
11168,Curl Curl
11169,Curlew Waters
11170,Curlewis
11171,Curlwaa
11172,Curra Creek
11173,Currabubula
11174,Curragh
11175,Curramore
11176,Currans Hill
11177,Currarong
11178,Currawang
11179,Currawarna
11180,Curraweela
11181,Curricabark
11182,Currowan
11183,Cuttabri
11184,Cuttagee
11185,Dabee
11186,Daceyville
11187,Dairy Arm
11188,Dairy Flat
11189,Dairymans Plains
11190,Daleys Point
11191,Dalgety
11192,Dalmeny
11193,Dalmorton
11194,Dalswinton
11195,Dalton
11196,Dalwood (Ballina - NSW)
11197,Dalwood (Singleton - NSW)
11198,Dandaloo
11199,Dandry
11200,Dangar Island
11201,Dangarsleigh
11202,Dangelong
11203,Dapto
11204,Darawank
11205,Darbalara
11206,Darbys Falls
11207,Dareton
11208,Dargan
11209,Dark Corner
11210,Darkes Forest
11211,Darkwood
11212,Darling Point
11213,Darlinghurst
11214,Darlington (Singleton - NSW)
11215,Darlington (Sydney - NSW)
11216,Darlington Point
11217,Darlow
11218,Daroobalgie
11219,Dartbrook
11220,Daruka
11221,Davidson
11222,Davis Creek
11223,Davistown
11224,Dawes Point
11225,Daysdale
11226,Dean Park
11227,Deauville
11228,Debenham
11229,Dee Why
11230,Deep Creek (Clarence Valley - NSW)
11231,Deep Creek (Kempsey - NSW)
11232,Deep Creek (Kyogle - NSW)
11233,Deepwater
11234,Deer Vale
11235,Delegate
11236,Delungra
11237,Denham Court
11238,Denhams Beach
11239,Deniliquin
11240,Denistone
11241,Denistone East
11242,Denistone West
11243,Denman
11244,Depot Beach
11245,Derriwong
11246,Deua
11247,Deua River Valley
11248,Devils Hole
11249,Dewitt
11250,Dharruk
11251,Dhulura
11252,Dhuragoon
11253,Diamond Beach
